,Train Data (%),gamma,SVMTestAcc,SVMValAcc,SVMF1Score
0,10,0.0001,0.9555555555555556,0.9277777777777778,0.9511027326137684
1,20,0.0001,0.9722222222222222,0.9555555555555556,0.9685555700666058
2,30,0.0001,0.9833333333333333,0.9666666666666667,0.9824203920553796
3,40,0.0001,0.9944444444444445,0.9722222222222222,0.9938490214352284
4,50,0.0001,0.9944444444444445,0.9777777777777777,0.9938490214352284
5,60,0.0001,0.9944444444444445,0.9777777777777777,0.9938490214352284
6,70,0.0001,0.9888888888888889,0.9833333333333333,0.9888495418529504
7,80,0.0001,0.9888888888888889,0.9777777777777777,0.9875234400398796
8,90,0.0001,0.9888888888888889,0.9833333333333333,0.9875234400398796
9,100,0.0001,0.9833333333333333,0.9888888888888889,0.9809702335564404
10,10,0.0005,0.6833333333333333,0.7166666666666667,0.7087706793900957
11,20,0.0005,0.8777777777777778,0.8888888888888888,0.8828403078403078
12,30,0.0005,0.9055555555555556,0.8555555555555555,0.90705280914952
13,40,0.0005,0.9333333333333333,0.9055555555555556,0.9312580511051276
14,50,0.0005,0.9611111111111111,0.9277777777777778,0.9572010598469168
15,60,0.0005,0.9666666666666667,0.9333333333333333,0.9637902815571063
16,70,0.0005,0.9666666666666667,0.9555555555555556,0.9646277199807516
17,80,0.0005,0.9722222222222222,0.9555555555555556,0.9702805617626258
18,90,0.0005,0.9777777777777777,0.9611111111111111,0.9767173433718211
19,100,0.0005,0.9888888888888889,0.9555555555555556,0.9880176581570567
20,10,0.001,0.22777777777777777,0.22777777777777777,0.24010376732344696
21,20,0.001,0.43333333333333335,0.4,0.47946281835509597
22,30,0.001,0.5555555555555556,0.5611111111111111,0.6114428263435424
23,40,0.001,0.6055555555555555,0.6277777777777778,0.6646937341009507
24,50,0.001,0.7611111111111111,0.7444444444444445,0.785393777833891
25,60,0.001,0.7222222222222222,0.7388888888888889,0.7590615364167996
26,70,0.001,0.7611111111111111,0.7555555555555555,0.7994886912604304
27,80,0.001,0.7777777777777778,0.7277777777777777,0.8148494443641503
28,90,0.001,0.8,0.7666666666666667,0.8315174424529262
29,100,0.001,0.8166666666666667,0.8166666666666667,0.8434596541496295
30,10,0.005,0.07222222222222222,0.09444444444444444,0.013471502590673572
31,20,0.005,0.07222222222222222,0.09444444444444444,0.013471502590673572
32,30,0.005,0.09444444444444444,0.1,0.017258883248730962
33,40,0.005,0.09444444444444444,0.08333333333333333,0.06178292954608744
34,50,0.005,0.09444444444444444,0.1,0.017258883248730962
35,60,0.005,0.09444444444444444,0.10555555555555556,0.017258883248730962
36,70,0.005,0.12222222222222222,0.11666666666666667,0.05665193912616593
37,80,0.005,0.07222222222222222,0.08333333333333333,0.013471502590673572
38,90,0.005,0.07777777777777778,0.09444444444444444,0.02465277777777778
39,100,0.005,0.08888888888888889,0.11666666666666667,0.026575028636884303
40,10,0.01,0.07222222222222222,0.09444444444444444,0.013471502590673572
41,20,0.01,0.07222222222222222,0.09444444444444444,0.013471502590673572
42,30,0.01,0.09444444444444444,0.1,0.017258883248730962
43,40,0.01,0.07777777777777778,0.08333333333333333,0.027827380952380954
44,50,0.01,0.09444444444444444,0.1,0.017258883248730962
45,60,0.01,0.09444444444444444,0.1,0.017258883248730962
46,70,0.01,0.11666666666666667,0.09444444444444444,0.04846153846153846
47,80,0.01,0.07222222222222222,0.08333333333333333,0.013471502590673572
48,90,0.01,0.07222222222222222,0.08333333333333333,0.013471502590673572
49,100,0.01,0.08333333333333333,0.1,0.015384615384615385
50,10,0.05,0.07222222222222222,0.09444444444444444,0.013471502590673572
51,20,0.05,0.07222222222222222,0.09444444444444444,0.013471502590673572
52,30,0.05,0.09444444444444444,0.1,0.017258883248730962
53,40,0.05,0.07222222222222222,0.08333333333333333,0.013471502590673572
54,50,0.05,0.09444444444444444,0.1,0.017258883248730962
55,60,0.05,0.09444444444444444,0.1,0.017258883248730962
56,70,0.05,0.1,0.08888888888888889,0.01818181818181818
57,80,0.05,0.07222222222222222,0.08333333333333333,0.013471502590673572
58,90,0.05,0.07222222222222222,0.08333333333333333,0.013471502590673572
59,100,0.05,0.08333333333333333,0.1,0.015384615384615385
